ISO Country	Country	Parent	Child	Abbrev	Canonical Name
US	United States		A11118	Adler	Adler Planetarium, Illinois
US	United States		A11135	ASTRA	Atmospheric & Space Technology Research Associates (ASTRA)
US	United States		A11151	Palmer Div	Palmer Divide Observatory, Colorado
US	United States		A11200	Malin	Malin Space Science Systems, California
US	United States		A11206	SRI Stanford	Stanford Research Institute, California
BE	Belgium		A11245	Belgium Ast Ass	Belgium Astronomical Association
LU	Luxembourg		A11247	Euro Ctr Geod Seis	European Center for Geodynamics and Seismology, Luxembourg
FR	France		A11257	Ctr Faibles Radio	Centre des Faibles Radioactivites
FR	France		A11269	Obs Blauvac	Observatoire de Blauvac, France
DE	Germany		A11271	VdS	Vereinigung der Sternfreunde, Germany
VE	Venezuela		A11280	EDIMAR	La Salle Foundation for Natural Sciences, Marine Research, Venezuela
CH	Switzerland		A11285	SPACE X	SPACE X Exploration Institute, Switzerland
CH	Switzerland		A11290	ISSI	International Space Science Institute, Switzerland
CH	Switzerland		A11297	Swiss Fed Obs	Swiss Federal Observatory, Zurich, Switzerland
NO	Norway		A11302	Norweg Geo Soc	Norwegian Geological Society
NO	Norway		A11304	EISCAT	European Incoherent Scatter Scientific Association, Norway
PT	Portugal		A11306	Atalaia Crow	Atalaia Group Crow Observatory, Portugal
PT	Portugal		A11307	NUCLIO	Interactive Nucleus of Astronomy, Portugal
ES	Spain		A11312	ASTER	Amateur Astronomers Association of Barcelona, Spain
ES	Spain		A11313	Fabra Barc	Fabra Observatory, Barcelona, Spain
ES	Spain		A11314	Duran Barc	Esteve Duran Observatory, Barcelona, Spain
ES	Spain		A11315	Gualba Barc	Gualba Observatory, Barcelona, Spain
ES	Spain		A11327	Ryl Span Nav Obs	Royal Spanish Naval Observatory
ES	Spain		A11330	Catalan Phy Soc	Catalan Physics Society, Spain
ES	Spain		A11335	FRACTAL SNLE	FRACTAL, SNLE
HR	Croatia		A11338	Ast Soc Croatia	Astronomical Society of Croatia
SI	Slovenia		A11341	Ast Soc Slovenia	Astronomical Society of Slovenia
HU	Hungary		A11350	Hung Ast Ass	Hungarian Astronomical Association
HU	Hungary		A11351	Bolyai Mil U	Bolyai Military University, Hungary
RO	Romania		A11357	Bucharest Astroclub	Bucharest Astroclub, Romania
CZ	Czechia		A11363	Stefaniks Obs	Stefaniks Observatory, Prague, Czech Republic
CZ	Czechia		A11365	Copernicus Obs	Copernicus Observatory, Brno, Czech Republic
CZ	Czechia		A11367	Upice Obs	Upice Observatory, Czech Republic
PL	Poland		A11371	Polish Soc Am Ast	Polish Society of Amateur Astronomers
PL	Poland		A11372	Olsztyn Ast Obs	Olsztyn Astronomical Observatory, Poland
PL	Poland		A11374	Chorzow Ast Obs	Chorzow Astronomical Observatory, Poland
CH	Switzerland		A11381	Obs Cantonal	Observatoire Cantonal de Neuchatel, Switzerland
IT	Italy		A11390	EGO	European Gravitational Observatory, Pisa, Italy
IT	Italy		A11412	Ast Obs Aosta	Astronomical Observatory of Aosta, Italy
IT	Italy		A11413	Talmassons Obs	Talmassons Observatory, Italy
IT	Italy		A11414	Geo Obs Coldigioco	Geological Observatory of Coldigioco, Italy
IT	Italy		A11415	Campo Catino Ast Obs	Campo Catino Astronomical Observatory, Italy
IT	Italy		A11419	ISI Turin	Institute for Scientific Interchange, Italy
IT	Italy		A11420	Bellatrix Ast Obs	Bellatrix Astronomical Observatory, Italy
GR	Greece		A11430	Hellenic Mil Ac	Hellenic Military Academy, Greece
CY	Cyprus		A11433	Cyprus Coll	Cyprus College, Nicosia
UA	Ukraine		A11441	Odessa Natl Mar U	Odessa National Maritime University, Ukraine
BY	Belarus		A11451	Belarus St U	Belarus State University, Minsk
BY	Belarus		A11453	Ast Geod Soc Minsk	Astronomical Geodesical Society of Minsk, Belarus
UZ	Uzbekistan		A11458	Samarkand St U	Samarkand State University, Uzbekistan
RU	Russia		A11466	EAAS	Eurasian Astronomical Society, Moscow, Russia
RU	Russia		A11468	Khrunichev Sp Ctr	Khrunichev State Research and Production Space Center, Moscow, Russia
RU	Russia		A11469	Korolev Energia	Korolev Energia Space Rocket Corporation, Moscow, Russia
RU	Russia		A11470	SCSE Moscow	State Committee of Standards, Moscow, Russia
RU	Russia		A11471	CAO Dolgoprudnyi	Central Aerological Observatory, Dolgoprudnyi, Russia
RU	Russia		A11472	Rostov St Ped U	Rostov State Pedagogical University, Russia
DE	Germany		A11484	AdW Potsdam	German Academy of Sciences, Potsdam
BE	Belgium		A11487	IMO	International Meteor Organization
DE	Germany		A11489	Archenhold Obs	Archenhold Observatory, Berlin, Germany
DE	Germany		A11490	BAV	West German Variable Star Observers
DE	Germany		A11491	Max Born Inst	Max Born Institute for Nonlinear Optics, Berlin, Germany
DE	Germany		A11508	M Adrian Obs	Michael Adrian Observatory, Germany
IR	Iran		A11517	Geo Surv IR	Geological Survey of Iran
IR	Iran		A11518	ISRC Tehran	Iranian Space Research Center, Tehran, Iran
NP	Nepal		A11519	Nepal Ast Soc	Nepal Astronomical Society
PH	Philippines		A11521	PAGASA	Philippine Atmospheric Geophysical and Astronomical Services Administration
ID	Indonesia		A11524	CVGHM	Center for Volcanology and Geohazards, Indonesia
ID	Indonesia		A11525	BAKOSURTANAL	BAKOSURTANAL, Indonesia
TH	Thailand		A11534	ThEP	Thailand Centre of Excellence in Physics
VN	Vietnam		A11535	INST	VATLY Institute for Nuclear Science and Technology, Vietnam
RS	Serbia		A11543	Nikola Tesla U	Nikola Tesla University, Serbia
IN	India		A11546	Assam Sci Soc	Assam Science Society, India
IN	India		A11548	Gov New Sci Coll	Government New Science College, India
KR	South Korea		A11559	Rad Res Lab Korea	Radio Research Laboratory, Korea
KR	South Korea		A11561	Korea Ast Obs	Korea Astronomy Observatory
CN	China		A11573	Beijing Plan	Beijing Planetarium, China
JP	Japan		A11577	Var Star Obs League	Variable Star Observers League of Japan
JP	Japan		A11598	Kobe Sci Mus	Kobe Science Museum, Japan
JP	Japan		A11615	Japan SpGuard Ass	Japan Spaceguard Association
JP	Japan		A11630	JSUP	Japan Space Utilization Promotion Center
JP	Japan		A11640	Gunma Ast Obs	Gunma Astronomical Observatory, Japan
JP	Japan		A11643	Toyoma Sci Mus	Toyoma Science Museum, Japan
JP	Japan		A11644	GRI Osaka	Geo Research Institute, Osaka, Japan
JP	Japan		A11645	Osaka Sci Mus	Osaka Science Museum, Osaka, Japan
JP	Japan		A11646	ALPO	Association for Lunar and Planetary Observers, Japan
JP	Japan		A11647	Misato Ast Obs	Misato Astronomical Observatory, Japan
JP	Japan		A11648	Hamanowa Ast Obs	Hamanowa Astronomical Observatory, Japan
JP	Japan		A11649	Itagaki Ast Obs	Itagaki Astronomical Observatory, Japan
NZ	New Zealand		A11654	Ryl Ast Soc NZ	Royal Astronomical Society of New Zealand
NZ	New Zealand		A11655	DSIR NZ	Department of Scientific and Industrial Research, New Zealand
NZ	New Zealand		A11656	Carter Obs	Carter Observatory, New Zealand
NZ	New Zealand		A11657	Auckland Obs	Auckland Observatory, New Zealand
AU	Australia		A11664	Austr At Ener Comm	Australian Atomic Energy Commission
AU	Australia		A11678	Perth Obs	Perth Observatory, Australia
AU	Australia		A11680	Sydney Obs Mus	Sydney Observatory Museum, Australia
AU	Australia		A11681	Hunters Hill Obs	Hunters Hill Observatory, Australia
AU	Australia		A11682	AGSO	Australian Geological Survey Organization
AU	Australia		A11683	Mars Soc	Mars Society, Australia
AU	Australia		A11684	Austr Bur Min Res	Australian Bureau of Mineral Resources
AU	Australia		A11685	Austr Mus Sydney	Australian Museum Sydney
ZA	South Africa		A11690	SKA	Square Kilometre Array, South Africa
CM	Cameroon		A11696	IRGM Cameroon	Centre for Hydrologic Research, Cameroon
GB	United Kingdom		A11697	MVO BWI	Montserrat Volcano Observatory, BWI
NI	Nicaragua		A11699	INETER	National Institute for Territorial Studies, Nicaragua
GB	United Kingdom		A11700	Supernova	Supernova Ltd, British Virgin Islands
AR	Argentina		A11709	Rosario Plan Ast Obs	Rosario Planetarium and Astronomical Observatory, Argentina
CL	Chile		A11716	SPACE San Pedro	San Pedro de Atacama Celestial Explorations, Chile
GB	United Kingdom		A11739	Armagh Obs	Armagh Observatory, Northern Ireland
CA	Canada		A11750	Can Ctr Rem Sen	Canadian Centre for Remote Sensing
CA	Canada		A11751	CERCA	Centre de Recherche en Calcul Applique, Montreal, Canada
CA	Canada		A11752	SNOLAB	Sudbury Neutrino Laboratory, Canada
GB	United Kingdom		A11756	Scot U Res React Ctr	Scottish Universities Research and Reactor Centre
JP	Japan		A11786	NIT Nagano	National Institute of Technology, Nagano College, Japan
US	United States		A11800	ERIM	Environmental Research Institute of Michigan
US	United States		A11804	AS&E	American Science and Engineering, Cambridge, Massachusetts
US	United States		A11810	Interferometrics	Interferometrics, Inc., Herndon, Virginia
